,O_All Other 3s,O_In the Paint,O_Rim,O_Corner 3 Left,O_Corner 3 Right,O_Mid 2,D_All Other 3s,D_In the Paint,D_Rim,D_Corner 3 Left,D_Corner 3 Right,D_Mid 2
Kansas State,0.32786885245901637,0.44625407166123776,0.6433260393873085,0.37735849056603776,0.26136363636363635,0.38095238095238093,0.3080082135523614,0.3956386292834891,0.6488888888888888,0.4339622641509434,0.42028985507246375,0.3423913043478261
Kennesaw State,0.3493975903614458,0.391304347826087,0.6301369863013698,0.6,0.36363636363636365,0.28125,0.32432432432432434,0.47058823529411764,0.7419354838709677,0.16666666666666666,0.5,0.38095238095238093
Kent State,0.2875,0.42028985507246375,0.43333333333333335,0.3333333333333333,0.6666666666666666,0.38095238095238093,0.3384615384615385,0.4090909090909091,0.5802469135802469,0.42857142857142855,0.6,0.23333333333333334
Kentucky,0.3490566037735849,0.42513863216266173,0.6763803680981595,0.5151515151515151,0.37209302325581395,0.34574468085106386,0.28872366790582404,0.42437923250564336,0.5878378378378378,0.37681159420289856,0.358974358974359,0.328
LIU Brooklyn,0.34177215189873417,0.3611111111111111,0.6447368421052632,0.25,0.5,0.3,0.2698412698412698,0.29411764705882354,0.5287356321839081,0.1,0.3333333333333333,0.34782608695652173
LSU,0.3473451327433628,0.41605839416058393,0.6206896551724138,0.39285714285714285,0.37142857142857144,0.375,0.3240343347639485,0.4247104247104247,0.6894865525672371,0.4423076923076923,0.44642857142857145,0.38071065989847713
La Salle,0.2777777777777778,0.3670886075949367,0.657608695652174,0.41935483870967744,0.3,0.3559322033898305,0.416289592760181,0.4620253164556962,0.6030927835051546,0.25,0.3076923076923077,0.41509433962264153
La Verne,0.42857142857142855,0.5,0.3333333333333333,0.0,0.0,0.4,0.35714285714285715,0.7727272727272727,0.9090909090909091,0.0,0.0,1.0
Lafayette,0.421875,0.4307692307692308,0.5740740740740741,0.25,0.4375,0.35714285714285715,0.5362318840579711,0.45454545454545453,0.6835443037974683,0.36363636363636365,0.42857142857142855,0.3333333333333333
Lamar,0.125,0.47058823529411764,0.6923076923076923,0.3333333333333333,0.0,0.4,0.35714285714285715,0.5,0.75,0.0,0.0,0.4444444444444444
Lehigh,0.35064935064935066,0.40350877192982454,0.5833333333333334,0.2857142857142857,0.3333333333333333,0.375,0.44776119402985076,0.4166666666666667,0.75,0.2,0.3333333333333333,0.2916666666666667
Liberty,0.35135135135135137,0.576271186440678,0.546875,0.45454545454545453,0.1111111111111111,0.3793103448275862,0.24,0.4050632911392405,0.5932203389830508,0.5833333333333334,0.625,0.22857142857142856
Lipscomb,0.3375796178343949,0.3611111111111111,0.6476190476190476,0.6923076923076923,0.25,0.3611111111111111,0.38311688311688313,0.5204081632653061,0.693069306930693,0.14285714285714285,0.2727272727272727,0.3269230769230769
Long Beach State,0.304,0.32954545454545453,0.5817307692307693,0.5454545454545454,0.3888888888888889,0.3246753246753247,0.33125,0.42857142857142855,0.6255707762557078,0.25,0.55,0.3958333333333333
Longwood,0.36666666666666664,0.24489795918367346,0.5645161290322581,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.25925925925925924,0.29411764705882354,0.6419753086419753,0.7777777777777778,0.2727272727272727,0.37037037037037035
Louisiana Tech,0.26548672566371684,0.43859649122807015,0.5588235294117647,0.2777777777777778,0.5,0.36585365853658536,0.3013698630136986,0.2916666666666667,0.6846846846846847,0.3333333333333333,0.3333333333333333,0.22580645161290322
Louisiana-Lafayette,0.25757575757575757,0.4909090909090909,0.6349206349206349,0.2727272727272727,0.4117647058823529,0.38461538461538464,0.288135593220339,0.3333333333333333,0.640625,1.0,0.375,0.5
Louisiana-Monroe,0.4235294117647059,0.32653061224489793,0.45,0.14285714285714285,0.5,0.3333333333333333,0.3225806451612903,0.3333333333333333,0.6710526315789473,0.5,0.2857142857142857,0.24
Louisville,0.37163375224416517,0.4080188679245283,0.6418918918918919,0.30612244897959184,0.3764705882352941,0.3448275862068966,0.34234234234234234,0.32598039215686275,0.5502873563218391,0.25,0.373134328358209,0.3722943722943723
Loyola (IL),0.3841642228739003,0.4805194805194805,0.6703296703296703,0.4375,0.42424242424242425,0.375,0.30512820512820515,0.3914590747330961,0.6204620462046204,0.3611111111111111,0.3684210526315789,0.3236994219653179
Loyola (MD),0.27906976744186046,0.5294117647058824,0.6440677966101694,0.6,0.26666666666666666,0.3958333333333333,0.38926174496644295,0.42857142857142855,0.7375,0.07142857142857142,0.36363636363636365,0.32432432432432434
Loyola Marymount,0.35435435435435436,0.37786259541984735,0.6082474226804123,0.3684210526315789,0.20833333333333334,0.36875,0.40412979351032446,0.5373831775700935,0.6809815950920245,0.3055555555555556,0.47058823529411764,0.3333333333333333
